название,дата_начала,дата_окончания,предметы,класс_от,класс_до,уровень,регион,источник,url,описание
ВсОШ по математике,2026-09-01,2027-03-30,Mat,4,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада школьников по математике. Четыре этапа: школьный (сентябрь) муниципальный (ноябрь) региональный (январь) заключительный (март). Призёры регионального и заключительного этапов получают льготы при поступлении в вузы.
ВсОШ по информатике,2026-09-01,2027-04-10,Inf,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада школьников по информатике. Задачи на алгоритмы и программирование. Языки C++ Python Java. Победители заключительного этапа могут войти в сборную России на IOI.
ВсОШ по физике,2026-09-01,2027-04-15,Phy,7,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада школьников по физике. Теоретический и экспериментальный туры. Охватывает механику термодинамику электродинамику оптику. Лучшие представляют Россию на IPhO.
ВсОШ по химии,2026-09-01,2027-04-05,Che,8,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада школьников по химии. Теоретический и экспериментальный туры: органическая неорганическая аналитическая химия. Победители получают льготы в медицинских и химических вузах.
ВсОШ по биологии,2026-09-01,2027-04-05,Bio,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада школьников по биологии. Теоретический тур и практические задания по ботанике зоологии анатомии экологии. Победители участвуют в отборе на IBO.
ВсОШ по русскому языку,2026-09-01,2027-04-20,Rus,4,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по русскому языку. Орфография пунктуация лексика морфология синтаксис. Для старших классов — лингвистический анализ текстов.
ВсОШ по литературе,2026-09-01,2027-04-20,Lit,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по литературе. Анализ лирики прозы и драматургии комплексный анализ текста. Оценивает глубину прочтения и умение интерпретировать художественные произведения.
ВсОШ по истории,2026-09-01,2027-04-15,His,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по истории. Тесты аналитические вопросы работа с документами и картами. Охватывает историю России и всемирную историю.
ВсОШ по обществознанию,2026-09-01,2027-04-10,Soc,6,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по обществознанию. Право экономика социология политология философия. Задания на анализ документов составление плана и аргументацию.
ВсОШ по географии,2026-09-01,2027-04-05,Geo,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по географии. Физическая и экономическая география картография региональные исследования. Практический тур включает работу с картами и геоданными.
ВсОШ по экономике,2026-09-01,2027-04-10,Eco,9,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по экономике. Микро- и макроэкономика математические методы рыночные механизмы. Льготы при поступлении в ведущие экономические вузы.
ВсОШ по праву,2026-09-01,2027-04-10,Law,9,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по праву. Конституционное гражданское уголовное трудовое административное право. Ситуационные задачи работа с нормативными актами.
ВсОШ по английскому,2026-09-01,2027-04-20,Eng,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по английскому языку. Лексика грамматика чтение письмо. Для старших классов устная часть и творческое задание.
ВсОШ по немецкому,2026-09-01,2027-04-20,Ger,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по немецкому языку. Аудирование чтение лексика грамматика письмо и говорение для старших классов.
ВсОШ по французскому,2026-09-01,2027-04-20,Fre,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по французскому языку. Аудирование чтение лексика грамматика письмо и говорение.
ВсОШ по астрономии,2026-09-01,2027-04-10,Ast,8,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по астрономии. Астрофизика космология небесная механика. Победители участвуют в отборе на IAO.
ВсОШ по экологии,2026-09-01,2027-04-10,Ecl,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по экологии. Теоретические вопросы экологические исследования проектные задания. Охрана окружающей среды биоразнообразие устойчивое развитие.
ВсОШ по технологии,2026-09-01,2027-04-05,Tec,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по технологии. Робототехника 3D-моделирование кулинария обработка материалов. Практические задания на создание изделий и проектная работа.
ВсОШ по физкультуре,2026-09-01,2027-04-01,Spo,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по физической культуре. Теоретический тур и практический (лёгкая атлетика гимнастика спортивные игры).
ВсОШ по китайскому,2026-09-01,2027-04-15,Chi,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Всероссийская олимпиада по китайскому языку. Аудирование чтение лексика грамматика письмо иероглифика. Особенно актуальна для регионов Дальнего Востока.
Олимп. «Ломоносов»,2026-10-01,2027-02-28,Mat Phy Che Bio His Lit Rus Eng Soc,6,11,1 уровень РСОШ,Все регионы,МГУ,https://olymp.msu.ru,Многопредметная олимпиада МГУ им. М.В. Ломоносова. Первый уровень РСОШ. Отборочный тур онлайн заключительный на площадках МГУ по всей России. Победители получают льготы при поступлении в МГУ и другие ведущие вузы.
«Высшая проба» ВШЭ,2026-10-01,2027-03-01,Mat Inf Eco Soc His Lit Rus Eng Law,7,11,1 уровень РСОШ,Все регионы,НИУ ВШЭ,https://olymp.hse.ru,Олимпиада НИУ ВШЭ «Высшая проба» — одна из крупнейших вузовских олимпиад России. Первый уровень РСОШ. Более 20 направлений. Победители имеют льготы при поступлении в НИУ ВШЭ.
Олимп. «Физтех»,2026-10-01,2027-03-15,Mat Phy,8,11,1 уровень РСОШ,Все регионы,МФТИ,https://olymp.mipt.ru,Олимпиада МФТИ «Физтех» по математике и физике — первый уровень РСОШ. Один из наиболее сложных конкурсов страны. Дистанционный отборочный тур и очный финал в Долгопрудном.
Олимп. ИТМО по ИТ,2026-10-01,2027-03-01,Inf,8,11,1 уровень РСОШ,Все регионы,ИТМО,https://olymp.itmo.ru,Олимпиада ИТМО по информатике и программированию. Первый уровень РСОШ. Два тура: онлайн и очный. C++ Java Python. Победители имеют льготы при поступлении в ИТМО.
«Хочу в ИТМО»,2026-10-15,2027-03-01,Mat Inf Phy,8,11,1 уровень РСОШ,Все регионы,ИТМО,https://olymp.itmo.ru,Олимпиада ИТМО по математике физике информатике. Первый уровень РСОШ. Дистанционный отборочный тур и очный финал в Санкт-Петербурге.
Олимп. «Эйлера»,2026-10-01,2027-02-28,Mat,5,11,1 уровень РСОШ,Все регионы,РСОШ,https://www.olimpiada.ru,Олимпиада первого уровня РСОШ по математике. Заочный отборочный тур онлайн очный тур в вузах-организаторах. Алгебра геометрия комбинаторика теория чисел.
«Покори Воробьёвы горы»,2026-10-15,2027-02-28,Mat Phy Che Bio His Lit Rus Eng,8,11,2 уровень РСОШ,Все регионы,МГУ,https://pvg.mk.ru,Олимпиада МГУ и «МК» — второй уровень РСОШ. Многопредметная с заочным и очным турами. Победители имеют льготы при поступлении в МГУ.
«Умники и умницы»,2026-09-01,2027-05-01,His Lit Soc,9,11,2 уровень РСОШ,Все регионы,МГИМО,https://olymp.mgimo.ru,Олимпиада МГИМО «Умники и умницы» по гуманитарным дисциплинам. Второй уровень РСОШ. Конкурс интеллектуальных и творческих работ. Льготы при поступлении в МГИМО.
«Курчатов»,2026-11-01,2027-03-15,Phy Che Mat Inf Bio,8,11,2 уровень РСОШ,Все регионы,НИЦ Курчатова,https://kurchatov.olymp.ru,Межрегиональная олимпиада «Курчатов» по естественным наукам. Второй уровень РСОШ. Акцент на интеграцию знаний и решение комплексных задач.
«Ядерный щит» Росатом,2026-10-15,2027-03-01,Phy Che Mat,9,11,2 уровень РСОШ,Все регионы,Росатом,https://www.rosatom.ru/career/school,Олимпиада Росатома по физике химии математике. Второй уровень РСОШ. Задания по ядерным технологиям и прикладной физике. Победители приглашаются на стажировки.
«Нанотехнологии»,2026-11-01,2027-03-01,Phy Che Bio Mat,8,11,2 уровень РСОШ,Все регионы,РОСНАНО,https://www.olimpiada.ru,Олимпиада по нанотехнологиям — второй уровень РСОШ. Задачи на стыке физики химии биологии и математики. Льготы при поступлении в вузы-партнёры.
«Формула единства» / 3+3,2026-10-01,2027-04-01,Mat,4,11,2 уровень РСОШ,Все регионы,РСОШ,https://www.formulaedinstv.ru,Российско-германская олимпиада по математике «Формула единства — Третье тысячелетие». Второй уровень РСОШ. Несколько туров включая международный. Нестандартные задачи.
«Звезда» по математике,2026-10-15,2027-03-30,Mat,3,11,2 уровень РСОШ,Все регионы,РСОШ,https://www.zvezda-olymp.ru,Олимпиада «Звезда» по математике — второй уровень РСОШ. Задания по арифметике алгебре геометрии комбинаторике в зависимости от класса. Несколько возрастных групп.
«Звезда» по русскому,2026-10-15,2027-03-30,Rus,3,11,2 уровень РСОШ,Все регионы,РСОШ,https://www.zvezda-olymp.ru,Олимпиада «Звезда» по русскому языку — второй уровень РСОШ. Орфография пунктуация морфология синтаксис стилистика и культура речи.
«Звезда» по истории,2026-10-15,2027-03-30,His,3,11,2 уровень РСОШ,Все регионы,РСОШ,https://www.zvezda-olymp.ru,Олимпиада «Звезда» по истории — второй уровень РСОШ. История России с древности до наших дней. Несколько возрастных групп: 3–5 6–8 9–11 классы.
«Звезда» по английскому,2026-10-15,2027-03-30,Eng,3,11,2 уровень РСОШ,Все регионы,РСОШ,https://www.zvezda-olymp.ru,Олимпиада «Звезда» по английскому языку — второй уровень РСОШ. Грамматика лексика чтение аудирование письмо. Несколько возрастных групп.
«Сириус» по математике,2026-11-01,2027-02-01,Mat,7,11,1 уровень РСОШ,Все регионы,Сириус,https://olymp.sochisirius.ru,Олимпиада центра «Сириус» по математике. Первый уровень РСОШ. Заочный тур на платформе Сириуса очный тур в Сочи и региональных центрах. Задачи по алгебре геометрии комбинаторике.
«Технологическое будущее»,2026-09-15,2027-03-30,Inf Tec Mat Phy,5,11,2 уровень РСОШ,Все регионы,РСОШ,https://www.olimpiada.ru,Олимпиада по инженерным и технологическим дисциплинам. Второй уровень РСОШ. Задания по робототехнике программированию математике и физике.
«Наноквант»,2026-10-01,2027-02-28,Phy Mat,8,11,3 уровень РСОШ,Все регионы,РСОШ,https://www.olimpiada.ru,Олимпиада «Наноквант» по физике — третий уровень РСОШ. Квантовая физика нанотехнологии. Теоретические задачи и анализ экспериментальных данных.
«Золотой путь»,2026-11-01,2027-04-01,His Geo Soc,7,11,3 уровень РСОШ,Все регионы,РСОШ,https://www.olimpiada.ru,Олимпиада по туризму и страноведению «Золотой путь» — третий уровень РСОШ. География история культурология. Знания о туристических ресурсах регионов России и зарубежья.
Нац. технолог. олимп. (НТО),2026-09-15,2027-04-15,Mat Inf Phy Tec,5,11,федеральный,Все регионы,Россия — страна возможностей,https://ntcontest.ru,Национальная технологическая олимпиада — командные соревнования по профилям: ИИ робототехника биотехнологии квантовые технологии. 15+ профилей. Финал — проектная сессия в технологическом вузе.
«Большие вызовы»,2026-09-01,2026-12-31,Mat Inf Phy Che Bio Tec Ecl,5,11,федеральный,Все регионы,Сириус,https://konkurs.sochisirius.ru,Конкурс научно-технологических проектов «Большие вызовы» центра «Сириус». Направления: ИИ биотехнологии энергетика экология. Победители приглашаются на смену в Сириус.
«Шаг в будущее»,2026-09-01,2027-04-30,Mat Phy Che Bio Inf Tec Ecl,5,11,федеральный,Все регионы,МГТУ им. Баумана,https://www.step-in-future.ru,Научно-инженерная программа МГТУ «Шаг в будущее». Конкурс научно-исследовательских и инженерных проектов. Региональные конференции и финал в Москве. Льготы при поступлении в МГТУ.
«Конкурс Вернадского»,2026-09-15,2027-04-01,Ecl Bio Geo His,6,11,федеральный,Все регионы,Центр «Вернадский»,https://vernadsky.info,Всероссийский юниорский конкурс им. В.И. Вернадского. Секции: науки о Земле экология биология история. Очный финал в Москве. Победители получают медали и призы.
«Учёные будущего»,2026-09-15,2027-04-30,Mat Phy Che Bio Inf Ecl,7,11,федеральный,Все регионы,Intel ISEF Россия,https://future-researchers.ru,Российский отбор на международный смотр Intel ISEF. Конкурс научно-исследовательских проектов. Победители представляют Россию на международном финале.
«Живая классика»,2026-10-01,2027-05-01,Lit Rus,4,11,федеральный,Все регионы,Фонд «Живая классика»,https://живаяклассика.рф,Всероссийский конкурс юных чтецов. Участники читают вслух отрывки из произведений русских и зарубежных авторов. Финал в «Артеке». Этапы: школьный муниципальный региональный.
Олимп. по фин. грамотности,2026-10-01,2027-02-28,Eco Soc Mat,5,11,федеральный,Все регионы,Банк России,https://elearning.cbr.ru,Олимпиада по финансовой грамотности Банка России. Личные финансы банковские продукты инвестиции пенсионные накопления. Онлайн-формат.
«Олимп» Яндекс,2026-09-01,2027-04-15,Inf,5,11,федеральный,Все регионы,Яндекс,https://yandex.ru/olymp,Олимпиада Яндекса по программированию. Несколько туров. Алгоритмы структуры данных математика. C++ Java Python. Победители получают приглашения на стажировку.
«Цифровой прорыв» школьники,2026-11-01,2027-03-31,Inf Tec Mat,7,11,федеральный,Все регионы,Россия — страна возможностей,https://digitalproryv.ru,Хакатон и конкурс по цифровым технологиям для школьников. Командная разработка цифровых решений по социальным и технологическим кейсам.
«Проектория»,2026-10-01,2027-04-30,Inf Tec Mat,7,11,федеральный,Все регионы,Россия — страна возможностей,https://proektoria.online,Форум профнавигации «Проектория». Хакатоны кейс-чемпионаты и проектные интенсивы по технологическим направлениям для школьников.
ДВФУ: олимп. по математике,2026-10-01,2027-02-28,Mat Gem,7,11,региональный,Дальний Восток,ДВФУ,https://olymp.dvfu.ru,Олимпиада ДВФУ по математике для школьников Дальнего Востока. Дистанционный тур на платформе ДВФУ и очный финал во Владивостоке. Льготы при поступлении.
ДВФУ: олимп. по физике,2026-10-01,2027-02-28,Phy,8,11,региональный,Дальний Восток,ДВФУ,https://olymp.dvfu.ru,Олимпиада ДВФУ по физике для школьников ДФО. Отборочный тур онлайн очный финал во Владивостоке. Льготы при поступлении в ДВФУ.
ДВФУ: олимп. по биологии,2026-10-01,2027-02-28,Bio,8,11,региональный,Дальний Восток,ДВФУ,https://olymp.dvfu.ru,Олимпиада ДВФУ по биологии для школьников ДФО. Ботаника зоология молекулярная биология экология. Льготы при поступлении на биологические специальности ДВФУ.
«Нобелевские надежды ДВФУ»,2026-10-15,2027-02-15,Phy Che Bio Mat,8,11,региональный,Дальний Восток,ДВФУ,https://olymp.dvfu.ru,Олимпиада ДВФУ «Нобелевские надежды». Задания высокого уровня по физике химии биологии математике. Сертификаты и льготы при поступлении в ДВФУ.
«Старт в науку» ДВФУ,2026-09-01,2026-12-31,Mat Phy Che Inf Bio Ecl,5,11,региональный,Дальний Восток,ДВФУ,https://dvfu.ru,Программа ДВФУ для школьников Дальнего Востока. Конкурс проектных работ и профориентационные мероприятия. Победители получают приглашения в летние школы ДВФУ.
«Первый шаг» ДВФУ,2026-10-01,2026-12-31,Mat Phy Che Inf Bio,4,7,региональный,Дальний Восток,ДВФУ,https://dvfu.ru,Олимпиада ДВФУ для учащихся 4–7 классов ДФО. Базовый уровень по математике физике химии биологии информатике. Введение в олимпийское движение.
«Приморская олимпиада»,2026-09-01,2027-03-15,Mat Inf Phy Che Bio Rus Eng His,1,11,региональный,Приморский край,Минобразования ПК,https://iroipk.ru,Ежегодная региональная олимпиада Приморского края. Организована Министерством образования ПК. Этапы: школьный муниципальный региональный. Победители направляются на ВсОШ.
«Созвездие» по математике,2026-10-01,2027-02-28,Mat Gem,4,8,региональный,Приморский край,ДВФУ / Минобразования ПК,https://iroipk.ru,Региональная олимпиада Приморского края для 4–8 классов по математике и геометрии. Организована ДВФУ. Победители имеют приоритет при зачислении в специализированные классы.
«Тихоокеанский берег»,2026-11-01,2027-01-31,Geo Ecl His,6,11,региональный,Приморский край,Администрация ПК / ДВФУ,https://dvfu.ru,Олимпиада Приморского края по географии экологии и истории Дальнего Востока. Тихоокеанский регион природа и история Приморья. Грамоты краевого уровня.
«Морская олимпиада»,2026-10-15,2027-02-01,Phy Mat Geo,7,11,региональный,Приморский край,МГУ им. Невельского,https://msun.ru,Олимпиада МГУ им. Невельского (Владивосток) по физике математике географии. Морские технологии навигация океанология. Льготы при поступлении.
«Дальневосточная наука»,2026-10-01,2027-03-01,Mat Phy Che Bio Inf Ecl,5,11,региональный,Приморский край,ДВО РАН,https://www.dvo.ru,Конференция-олимпиада ДВО РАН. Представление исследовательских проектов экспертной комиссии. Естественные науки IT экология Дальнего Востока.
«Математика — царица наук»,2026-10-15,2027-02-15,Mat Gem,4,9,региональный,Приморский край,ДВФУ / Минобразования ПК,https://dvfu.ru,Открытая олимпиада Приморья по математике и геометрии для 4–9 классов. Организована кафедрой математики ДВФУ. Дистанционный тур и финал во Владивостоке.
«Экология Приморья»,2026-09-15,2026-12-31,Ecl Bio Geo,5,11,региональный,Приморский край,Центр экологии ПК,https://ecо.primorsky.ru,Краевой конкурс проектов по экологии Приморья. Биоразнообразие Уссурийской тайги морские экосистемы охрана природы. Организован при поддержке Минприроды края.
«Тигр и я»,2026-09-01,2026-12-15,Ecl Bio,4,11,региональный,Приморский край,Центр «Амурский тигр»,https://amur-tiger.ru,Краевой конкурс посвящённый охране амурского тигра и природы Приморья. Исследовательские работы рисунки и проекты о редких видах Уссурийской тайги.
«Морской конкурс»,2026-11-01,2027-02-01,Geo Phy Mat,6,11,региональный,Приморский край,ТИНРО / ДВНИГМИ,https://www.tinro-center.ru,Конкурс школьников Приморья по морской тематике. Океанология биология моря климатология рыболовство. Организован ТИНРО и ДВНИГМИ.
«Юный исследователь»,2026-10-01,2027-01-31,Mat Phy Che Bio Inf Ecl Geo His Lit,1,8,региональный,Приморский край,Минобразования ПК,https://iroipk.ru,Краевой конкурс исследовательских работ для 1–8 классов Приморья «Юный исследователь». Представление проектов на краевых площадках.
«Юный программист» ДВ,2026-10-01,2027-02-28,Inf Mat,5,10,региональный,Дальний Восток,Минобразования ПК,https://iroipk.ru,Региональный конкурс по программированию для школьников Дальнего Востока. Scratch (5–7 кл.) Python и C++ (8–10 кл.). Победители направляются на всероссийский этап.
«Примробот»,2026-10-01,2027-01-15,Tec Inf Mat,5,11,региональный,Приморский край,Краевой центр «Сириус»,https://sirius.primorsky.ru,Краевой конкурс по робототехнике «Примробот». Командная сборка и программирование роботов. Подготовка к НТО и ВсОШ по технологии. Финал на площадке «Сириуса» Владивосток.
«Знатоки Дальнего Востока»,2026-11-01,2027-03-01,His Geo Soc,7,11,региональный,Дальний Восток,Минвостокразвития,https://minvr.gov.ru,Олимпиада по истории географии и обществознанию с акцентом на дальневосточную тематику. История освоения ДВ природа и современное развитие региона.
